FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190710;0000;;;17;
190711;0000;;;20;
190712;0000;;;17;
190713;0000;;;21;
190714;0000;;;22;
190715;0000;;;27;
190716;0000;;;23;
190717;0000;;;19;
190718;0000;;;20;
190719;0000;;;27;
190720;0000;;;34;
190721;0000;;;17;
190722;0000;;;14;
190723;0000;;;17;
190724;0000;;;22;
190725;0000;;;24;
190726;0000;;;24;
190727;0000;;;34;
190728;0000;;;24;
190729;0000;;;21;
190730;0000;;;16;
190731;0000;;;10;
190801;0000;;;12;
190802;0000;;;18;
190803;0000;;;36;
190804;0000;;;37;
190805;0000;;;21;
190806;0000;;;13;
190807;0000;;;11;
190808;0000;;;18;
190809;0000;;;17;
190810;0000;;;18;
190811;0000;;;13;
190812;0000;;;13;
190813;0000;;;28;
190814;0000;;;18;
190815;0000;;;15;
190816;0000;;;8;
190817;0000;;;14;
190818;0000;;;28;
190819;0000;;;20;
190820;0000;;;22;
190821;0000;;;15;
190822;0000;;;22;
190823;0000;;;16;
190824;0000;;;20;
190825;0000;;;13;
190826;0000;;;11;
190827;0000;;;17;
190828;0000;;;14;
190829;0000;;;8;
190830;0000;;;13;
190831;0000;;;20;
190901;0000;;;18;
190902;0000;;;25;
190903;0000;;;19;
190904;0000;;;18;
190905;0000;;;9;
190906;0000;;;13;
190907;0000;;;11;
190908;0000;;;4;
190909;0000;;;4;
190910;0000;;;11;
190911;0000;;;7;
190912;0000;;;12;
190913;0000;;;13;
190914;0000;;;12;
190915;0000;;;12;
190916;0000;;;6;
190917;0000;;;17;
190918;0000;;;15;
190919;0000;;;17;
190920;0000;;;15;
190921;0000;;;25;
190922;0000;;;12;
190923;0000;;;14;
190924;0000;;;16;
190925;0000;;;;
190926;0000;;;12;
190927;0000;;;11;
190928;0000;;;18;
190929;0000;;;12;
190930;0000;;;8;
191001;0000;;;10;
191002;0000;;;9;
191003;0000;;;8;
191004;0000;;;14;
191005;0000;;;;
191006;0000;;;14;
191007;0000;;;14;
191008;0000;;;19;
191009;0000;;;17;
191010;0000;;;13;
191011;0000;;;17;
191012;0000;;;20;
191013;0000;;;24;
191014;0000;;;9;
191015;0000;;;12;
191016;0000;;;14;
191017;0000;;;10;
191018;0000;;;16;
191019;0000;;;12;
191020;0000;;;13;
191021;0000;;;21;
191022;0000;;;20;
191023;0000;;;16;
191024;0000;;;14;
191025;0000;;;13;
191026;0000;;;10;
191027;0000;;;9;
191028;0000;;;6;
191029;0000;;;8;
191030;0000;;;12;
191031;0000;;;10;
191101;0000;;;8;
191102;0000;;;17;
191103;0000;;;17;
191104;0000;;;12;
191105;0000;;;20;
191106;0000;;;18;
191107;0000;;;18;
191108;0000;;;19;
191109;0000;;;22;
191110;0000;;;21;
191111;0000;;;10;
191112;0000;;;9;
191113;0000;;;12;
191114;0000;;;14;
191115;0000;;;12;
191116;0000;;;13;
191117;0000;;;33;
191118;0000;;;28;
191119;0000;;;23;
191120;0000;;;20;
191121;0000;;;14;
191122;0000;;;12;
191123;0000;;;12;
191124;0000;;;11;
191125;0000;;;12;
191126;0000;;;16;
191127;0000;;;16;
191128;0000;;;16;
191129;0000;;;9;
191130;0000;;;18;
191201;0000;;;19;
191202;0000;;;13;
191203;0000;;;18;
191204;0000;;;22;
191205;0000;;;19;
191206;0000;;;15;
191207;0000;;;10;
191208;0000;;;11;
191209;0000;;;11;
191210;0000;;;10;
191211;0000;;;9;
191212;0000;;;15;
191213;0000;;;13;
191214;0000;;;12;
191215;0000;;;14;
191216;0000;;;18;
191217;0000;;;18;
191218;0000;;;13;
191219;0000;;;7;
191220;0000;;;14;
191221;0000;;;19;
191222;0000;;;19;
191223;0000;;;16;
191224;0000;;;10;
191225;0000;;;15;
191226;0000;;;15;
191227;0000;;;11;
191228;0000;;;14;
191229;0000;;;15;
191230;0000;;;21;
191231;0000;;;21;
200101;0000;;;17;
200102;0000;;;16;
200103;0000;;;13;
200104;0000;;;17;
200105;0000;;;20;
200106;0000;;;10;
200107;0000;;;13;
200108;0000;;;8;
200109;0000;;;16;
200110;0000;;;17;
200111;0000;;;17;
200112;0000;;;14;
200113;0000;;;10;
200114;0000;;;10;
200115;0000;;;22;
200116;0000;;;28;
200117;0000;;;25;
200118;0000;;;21;
200119;0000;;;15;
200120;0000;;;14;
200121;0000;;;13;
200122;0000;;;11;
200123;0000;;;12;
200124;0000;;;10;
200125;0000;;;13;
200126;0000;;;16;
200127;0000;;;15;
200128;0000;;;18;
200129;0000;;;16;
200130;0000;;;20;
200131;0000;;;18;
200201;0000;;;18;
200202;0000;;;17;
200203;0000;;;17;
200204;0000;;;21;
200205;0000;;;13;
200206;0000;;;12;
200207;0000;;;16;
200208;0000;;;22;
200209;0000;;;17;
200210;0000;;;16;
200211;0000;;;13;
200212;0000;;;16;
200213;0000;;;22;
200214;0000;;;30;
200215;0000;;;16;
200216;0000;;;9;
200217;0000;;;12;
200218;0000;;;22;
200219;0000;;;22;
200220;0000;;;21;
200221;0000;;;17;
200222;0000;;;18;
200223;0000;;;22;
200224;0000;;;17;
200225;0000;;;18;
200226;0000;;;23;
200227;0000;;;18;
200228;0000;;;15;
200229;0000;;;13;
200301;0000;;;12;
200302;0000;;;9;
200303;0000;;;12;
200304;0000;;;16;
200305;0000;;;19;
200306;0000;;;18;
200307;0000;;;21;
200308;0000;;;17;
200309;0000;;;21;
200310;0000;;;14;
200311;0000;;;13;
200312;0000;;;11;
200313;0000;;;9;
200314;0000;;;15;
200315;0000;;;19;
200316;0000;;;13;
200317;0000;;;16;
200318;0000;;;18;
200319;0000;;;18;
200320;0000;;;15;
200321;0000;;;10;
200322;0000;;;12;
200323;0000;;;13;
200324;0000;;;12;
200325;0000;;;13;
200326;0000;;;12;
200327;0000;;;8;
200328;0000;;;15;
200329;0000;;;21;
200330;0000;;;19;
200331;0000;;;18;
200401;0000;;;24;
200402;0000;;;32;
200403;0000;;;28;
200404;0000;;;23;
200405;0000;;;23;
200406;0000;;;27;
200407;0000;;;29;
200408;0000;;;33;
200409;0000;;;19;
200410;0000;;;17;
200411;0000;;;23;
200412;0000;;;23;
200413;0000;;;27;
200414;0000;;;32;
200415;0000;;;32;
200416;0000;;;30;
200417;0000;;;22;
200418;0000;;;16;
200419;0000;;;13;
200420;0000;;;23;
200421;0000;;;21;
200422;0000;;;18;
200423;0000;;;9;
200424;0000;;;10;
200425;0000;;;12;
200426;0000;;;10;
200427;0000;;;8;
200428;0000;;;12;
200429;0000;;;19;
200430;0000;;;20;
200501;0000;;;21;
200502;0000;;;21;
200503;0000;;;23;
200504;0000;;;25;
200505;0000;;;24;
200506;0000;;;26;
200507;0000;;;20;
200508;0000;;;29;
200509;0000;;;34;
200510;0000;;;20;
200511;0000;;;30;
200512;0000;;;31;
200513;0000;;;32;
200514;0000;;;30;
200515;0000;;;29;
200516;0000;;;22;
200517;0000;;;22;
200518;0000;;;23;
200519;0000;;;23;
200520;0000;;;26;
200521;0000;;;23;
